Nazwa|Cena|Miasto|Dzielnica|Inwestycja|Pow. całkowita|Rynek|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Balkon|Taras|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Pow. użytkowa|Stan nieruchomości|Wysokość wnętrza|Typ kuchni|Liczba łazienek|łazienka razem z WC|Pow. loggii|Forma własności|Stan budynku|Pow. łazienki|Pow. balkonu|Dostępne od|Cena do negocjacji|Pow. tarasu|Pow. ogródka|Stolarka okienna|Typ domu|Dodatkowe koszty|Lokalizacja garażu|Kominek|Typ nieruchomości
Duże mieszkanie 77,64m2 Po Remoncie Winda|799 000 zł|Gdynia, |Chylonia, ||73,74 m²|Wtórny|2012|05.02.2024|26.03.2024|morizon-151572|231|20|1/3|3|1|2|Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie||||||||||||02.02.2024|||||||||
Nowe 3 pokojowe mieszkanie w kameralnej zabudowie|1 330 933 zł|Gdynia, |Wielki Kack, ||80 m²|Pierwotny|2023|05.04.2024|05.04.2024|morizon-25780|54|19||1||||||Nowe budownictwo||Piecowe||Do wprowadzenia||||||||||||||Nowe PCV|||||
Komfortowy Apartament , Centrum Gdyni , przy marinie i plaży|1 467 000 zł|Gdynia, |Śródmieście, ||49 m²|Wtórny|2023|04.01.2024|05.04.2024|morizon-23724|1 161|19|5/17|17|||Tak|||Apartamentowiec||Miejskie||Do wprowadzenia||||||||||||||Nowe PCV|||||
Opis nieruchomości|404 000 zł|Gdynia|||44,40 m²|Wtórny|1970|12.02.2024|12.04.2024|morizon-1072906106|1 594|19|4/4|4||||||Blok|||||||||||||||||||||||
dwa pokoje w atrakcyjnej lokalizacji|463 000 zł|Gdynia, |Cisowa, ||45 m²|Wtórny|1975|08.04.2024|08.04.2024|morizon-827978|71|19||4|||Tak|||Blok||Miejskie||Do odświeżenia||||||||||||||Nowe PCV|||||
Bezp. sprzedam kawalerkę w Gdyni, mieszk. do wprowadzenia|395 000 zł|Gdynia, |Wiczlino||30 m²|Wtórny|2009|20.02.2024|22.03.2024|morizon-24640|362|19||3||||||Blok||Miejskie||Do wprowadzenia||||||||||||||Nowe PCV|||||
Opis nieruchomości|511 692 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.45|35|15|||||||||||||||||||||||||||||||
Opis nieruchomości|536 521 zł|Gdynia, |Cisowa, |ZBOŻOWA|41,16 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.75|30|15|||||||||||||||||||||||||||||||
Cadena Park 2-pokojowe mieszkanie w Gdyni|475 000 zł|Gdynia, |Mały Kack, ||32,90 m²|Wtórny|2002|05.04.2024|08.04.2024|morizon-DB09817|54|15||3|||Nie|Tak|Na wyłączność|||C.o. miejskie||||Półotwarta|2|||Własność|Wysoki standard||||||||||||
Atrakcyjna lokata kapitału - Gdynia Śródmieście|629 000 zł|Gdynia, |Śródmieście, ||50,50 m²|Wtórny|1965|22.03.2024|12.04.2024|morizon-OR016313|183|15|1/6|6|||Nie|Nie||||C.o. miejskie|||300 cm|Osobna|1|Tak||Własność|Do remontu||||||||||||
3 pokoje z oddzielna kuchnia|770 000 zł|Gdynia, |Działki Leśne, ||59,62 m²|Wtórny|1936|01.03.2024|01.03.2024|morizon-312477|200|12||2||2||||Kamienica||Gazowe|||||||||||||||||||||
Centrum, plaża i bulwar w Gdyni|1 078 900 zł|Gdynia, |Śródmieście||67,39 m²|Pierwotny|2023|07.02.2024|03.04.2024|morizon-213/9142/OMS|153|12|1/4|4|||Tak|||APARTAMENTOWIEC|MIESZANY|C.O. Z SIECI MIEJSKIEJ||DO WYKOŃCZENIA||ANEKS KUCHENNY|1|||WŁASNOŚĆ||||30.04.2024|||||||||
Mieszkanie 2 pok.Gdynia Redłowo/Centrum ul.BOH.STARÓWKI WARSZAWSKIEJ|599 000 zł|Gdynia, |Redłowo, ||50,23 m²|Wtórny|1970|07.04.2024|12.04.2024|morizon-122|63|10|2/12|12|1||Tak|Nie||Blok|Wielka płyta|Miejskie||Do remontu||Osobna|1|Tak||Spółdzielcze-własnościowe|Dobry||||||||||||
** Rezerwacja, Widok na Morze, Wysoki Standard! **|849 000 zł|Gdynia, |Śródmieście, ||53,90 m²|Wtórny|1967|26.12.2023|08.04.2024|morizon-EP653494|443|10|7/10|10|1|2|Tak||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie||||||||||||15.03.2024|||||||||
Mieszkanie - Gdynia Orłowo|633 900 zł|Gdynia, |Orłowo, ||77,10 m²|Wtórny|1970|01.02.2024|11.04.2024|morizon-DB09798|476|10|2/3|3|||Tak|Nie|Na wyłączność|||Gazowe||||Osobna|1|||Własność|Do remontu||||||||||||
Czteropokojowy apartament w otulinie lasu|2 800 000 zł|Gdynia, |Orłowo, ||92,41 m²|Wtórny|2020|26.03.2024|03.04.2024|morizon-EC813508|98|6|1/2|2||3|Tak||Na wyłączność|Apartamentowiec|Silikat|Co Miejskie|||||||||||||||||||||
Przestronny apartament z widokiem na morze|2 990 000 zł|Gdynia, |Śródmieście, ||91 m²|Wtórny|2009|28.03.2024|19.03.2024|morizon-EC335150|83|6|21/37|37||2||||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Apartament 3 pokoje w centrum Gdyni|986 300 zł|Gdynia, |Śródmieście, ||55,89 m²|Pierwotny|2024|29.02.2024|12.03.2024|morizon-730579|74|6|2/4|4|||||||||||||||||||||||||||||
"Gdynia Centrum Apartament 3 pokoje | blisko morza"|1 024 600 zł|Gdynia, |Śródmieście, ||55,89 m²|Pierwotny|2024|29.02.2024|12.03.2024|morizon-325462|69|6|4/4|4|||||||||||||||||||||||||||||
Świetna lokalizacja, 4 pokoje, ciche miejsce|1 849 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||92,81 m²|Wtórny|1955|08.04.2024|11.04.2024|morizon-PAN448809|35|5|2/3|3|||Nie|Nie||Blok Mieszkalny|Cegła|Gazowe|||||||||||||||||||||
3 pok. mieszkanie z 2 miejscami w hali garażowej|1 629 000 zł|Gdynia, |Śródmieście, ||91,50 m²|Wtórny|2012|28.03.2024|05.04.2024|morizon-MG761838|52|5|3/8|8|1|3|Tak|Tak|Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
"Balkon | Widok na morze| Top lokalizacja | Parking"|719 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||52,63 m²|Wtórny|1970|09.02.2024|11.04.2024|morizon-MG456574|255|5|4/10|10|1||Tak||Na wyłączność|Wieżowiec||Co Miejskie|||||||||||||||||||||
Mieszkanie 4 pokojowe z możliwością pozostawienia wyposażenia|1 299 000 zł|Gdynia, |Witomino, ||135,21 m²|Wtórny|2001|14.02.2024|07.04.2024|morizon-10657|297|5|3/3|3|1||Tak|Nie||Dom wielorodzinny|Pustak|Gazowe|134,68 m²|Bardzo dobry||Osobna|2|Nie||Własność|Bardzo dobry|8,64 m²|||||||||||
Opis nieruchomości|574 751 zł|Gdynia, |Cisowa, |ZBOŻOWA|51,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.18|686|29|||||||||||||||||||||||||||||||
Mieszkanie 2 pok. z możliwością pozostawienia wyposażenia|519 000 zł|Gdynia, |Oksywie, ||69,70 m²|Wtórny|1930|20.02.2024|07.04.2024|morizon-10658|333|5||4|1||Nie|Nie||Blok|Cegła||60,20 m²|Do odświeżenia|300 cm|Osobna|1|Tak||Własność|Dobry|7 m²|||||||||||
Jedyne takie 3-pokojowe mieszkanie,kameralny OGRÓD|849 000 zł|Gdynia, |Chwarzno-Wiczlino, ||64,29 m²|Wtórny|2017|20.02.2024|04.03.2024|morizon-MG474189|160|5||3|1||||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Mieszkanie - Gdynia Dąbrowa|759 000 zł|Gdynia, |Dąbrowa, ||112,60 m²|Wtórny|2002|19.01.2024|29.03.2024|morizon-MO04135|83|5|3/3|3|2||Tak|Nie|Na wyłączność|||C.o. miejskie||||Otwarta|2|||Własność|Bardzo dobry|||01.04.2024|||||||||
Piękne, słoneczne-osiedle pod lasem|1 045 000 zł|Gdynia, |Chwarzno-Wiczlino, ||80,44 m²|Wtórny||04.10.2022|18.03.2024|morizon-1022/CTN/OMS-53109|2 423|5|2/3|3|1|2|Tak|||||C.O. Z SIECI MIEJSKIEJ||BARDZO DOBRY||ANEKS KUCHENNY|2|Nie||PEŁNA WŁASNOŚĆ|BARDZO DOBRY||5 m²|||||DREWNIANE|APARTAMENT||||
Mieszkanie w Centrum Gdyni, idealny układ, 2 pokoj|869 000 zł|Gdynia, |Śródmieście||58,15 m²|Wtórny||30.01.2024|22.02.2024|morizon-1058/CTN/MS-53194|480|5|4/6|6|1|1|Tak||Na wyłączność|||C.O. Z SIECI MIEJSKIEJ||DOBRY||ODDZIELNA|1|Nie||ODRĘBNA WŁASNOŚĆ|DOBRY||6 m²|||||PLASTIKOWE|TYPOWE||||
Mieszkanie - Gdynia Wielki Kack|750 000 zł|Gdynia, |Wielki Kack, ||71,60 m²|Wtórny|1999|17.09.2023|09.04.2024|morizon-WJ03241|1 456|5|1/4|4|||Tak|Nie||||C.o. miejskie||||Półotwarta|1|Nie||Własność|Do zamieszkania||||||||||||
Mieszkanie 4-pokojowe na granicy Sopotu i Gdyni|2 300 000 zł|Gdynia, |Kolibki, ||103,13 m²|Wtórny|2005|08.05.2023|15.01.2024|morizon-MG889049|597|5||2|1|||Tak|Na wyłączność|Blok Mieszkalny||Co Własne|||||||||||||||||||||
Nowe Apartamenty Gruzja - Kvariati|74 665 USD|Gdynia, |Śródmieście, ||40 m²|Pierwotny|2023|23.06.2022|03.08.2023|morizon-MG561849|3 338|5|5/12|12|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe Apartamenty Gruzja - Kvariati|74 962 USD|Gdynia, |Śródmieście, ||38,10 m²|Pierwotny|2023|23.06.2022|03.08.2023|morizon-MG547682|1 748|5|7/12|12|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe Apartamenty Gruzja - Kvariati|76 930 USD|Gdynia, |Śródmieście, ||39,10 m²|Pierwotny|2023|23.06.2022|03.08.2023|morizon-MG235110|2 430|5|7/12|12|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe Apartamenty Gruzja - Kvariati|123 944 USD|Gdynia, |Śródmieście, ||66,40 m²|Pierwotny|2023|23.06.2022|03.08.2023|morizon-MG503783|2 429|5|4/12|12|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe Apartamenty Gruzja - Kvariati|151 499 USD|Gdynia, |Śródmieście, ||100,10 m²|Wtórny|2024|23.06.2022|03.08.2023|morizon-MG515547|2 201|5|5/12|12|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe Apartamenty Gruzja - Batumi|87 000 USD|Gdynia|||32,90 m²|Pierwotny||23.06.2022|03.08.2023|morizon-MG156711|1 647|5|20/23|23|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe Apartamenty Gruzja - Batumi|127 259 USD|Gdynia|||53,90 m²|Pierwotny||23.06.2022|03.08.2023|morizon-MG515712|928|5|13/23|23|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe Apartamenty Gruzja - Batumi|147 616 USD|Gdynia|||44,20 m²|Pierwotny||23.06.2022|03.08.2023|morizon-MG482987|983|5|23/23|23|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe Apartamenty Gruzja - Batumi|157 468 USD|Gdynia|||70,30 m²|Pierwotny||23.06.2022|03.08.2023|morizon-MG196406|1 192|5|13/23|23|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
3 pok. mieszkanie z tarasem narożnym o pow. 90m|969 000 zł|Gdynia, |Chwarzno-Wiczlino, ||66 m²|Wtórny|2009|30.11.2023|30.11.2023|morizon-MG285397|216|5||4|1|||Tak|Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Po remoncie, balkon, piwnica|582 000 zł|Gdynia, |Witomino, ||43,13 m²|Wtórny|1968|02.04.2024|11.04.2024|morizon-MG105936|58|4|1/4|4|1||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
3 pokoje z balkonem|499 000 zł|Gdynia, |Obłuże, ||53,60 m²|Wtórny|1976|30.03.2024|08.04.2024|morizon-MG447280|72|4|3/4|4|1||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Kawalerka z widokiem na morze w centrum Gdyni|579 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||27 m²|Wtórny|1980|05.04.2024|05.04.2024|morizon-MG285950|48|4|6/10|10|1||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
dwupoziomowe mieszkanie|799 000 zł|Gdynia, |Mały Kack, ||56,74 m²|Wtórny|2018|29.03.2024|29.03.2024|morizon-MG486272|48|4|1/2|2|2||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
dla rodziny z dziećmi, Do dalszego wynajmu|580 000 zł|Gdynia, |Redłowo, ||55,39 m²|Wtórny|1966|04.03.2024|04.03.2024|morizon-MG673161|283|4|1/4|4|2|3||||Blok Mieszkalny|Pustak|Co Miejskie||||||||||||12.02.2024|||||||||
2 POKOJE PO GENERALNYM REMONCIE BLISKO PLAŻY|669 000 zł|Gdynia, |Redłowo, ||41 m²|Wtórny|1970|14.02.2024|11.04.2024|morizon-MG927329|168|4|3/9|9|1||Tak|||Blok Mieszkalny||Co Miejskie|40,80 m²||||||||||||||||||||
Gotowe mieszkanie w najlepszej lokalizacji|699 000 zł|Gdynia, |Działki Leśne, ||55 m²|Wtórny|1950|14.02.2024|25.03.2024|morizon-MG354624|206|4|1/5|5|1||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Dobrowa, Po remoncie, 3 pokoje,|650 000 zł|Gdynia, |Dąbrowa, ||69,30 m²|Wtórny|1993|06.03.2024|27.03.2024|morizon-MG342484|90|4|3/4|4|1|2|Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
2 pokoje, po remoncie, wysoki standard ! SKM|497 000 zł|Gdynia, |Leszczynki, ||38 m²|Wtórny|1970|06.03.2024|05.04.2024|morizon-MG870259|110|4||10|1|||||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Ustawne, ładne 2-pok. mieszkanie, balkon, winda|559 000 zł|Gdynia, |Chwarzno-Wiczlino, ||40,86 m²|Wtórny|2017|25.01.2024|05.03.2024|morizon-MG299840|256|4|2/3|3|1||Tak|||Blok Mieszkalny||Co Własne|||||||||||||||||||||
"Garaż | Komórka lokatorska | Taras 25m2"|1 149 000 zł|Gdynia, |Wiczlino, ||80 m²|Wtórny|2021|15.11.2023|10.04.2024|morizon-MG802351|187|4|1/3|3|1|||Tak||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowe mieszkanie bez podatku PCC 2%|774 000 zł|Gdynia, |Grabówek, ||48 m²|Wtórny|2023|13.03.2024|13.03.2024|morizon-MG610423|32|4|2/4|4|1|||||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
apartament w centrum Gdyni, idealna inwestycja|1 031 000 zł|Gdynia, |Śródmieście, ||55,89 m²|Pierwotny|2024|02.01.2024|01.04.2024|morizon-MG630957|76|4|1/4|4|||Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Przestronne i jasne 3 pokojowe mieszkanie|890 400 zł|Gdynia, |Chwarzno-Wiczlino, ||67,20 m²|Wtórny|2014|25.01.2024|26.02.2024|morizon-MG485537|200|4|1/4|4|1|||||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Świetna lokalizacja, centrum Gdyni, blisko morza|799 000 zł|Gdynia, |Śródmieście, ||55 m²|Wtórny|1970|07.11.2023|29.02.2024|morizon-MG639294|304|4|4/10|10|1||Tak|||Wieżowiec||Co Miejskie|||||||||||||||||||||
Wzgórze Św. Maksymiliana, Inwestycja|580 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||58 m²|Wtórny|1939|22.09.2023|27.02.2024|morizon-MG388635|955|4||3|1|||||Kamienica||Elektryczne|||||||||||||||||||||
Nowe Apartamenty Gruzja - Batumi|129 901 USD|Gdynia|||53,20 m²|Pierwotny||23.06.2022|03.08.2023|morizon-MG481372|1 012|4|15/23|23|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
5 pok.Dom z Garażem/Ogrodem/ STAN DEWELOPERSKI|1 749 900 zł|Gdynia, |Dąbrowa, ||196,10 m²|Pierwotny|2021|29.10.2021|03.08.2023|morizon-MG663936|1 612|4|1/1|1||||Tak||Bliźniak|||||||||||||||||||||||
Opis nieruchomości|574 751 zł|Gdynia, |Cisowa, |ZBOŻOWA|51,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.18|686|29|||||||||||||||||||||||||||||||
2 pokojowe mieszkanie inwestycyjne w centrum|650 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||41 m²|Wtórny|2021|09.02.2022|06.02.2024|morizon-MG804356|2 550|4|5/16|16|1||Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
3 pokojowe mieszkanie pod wynajem w centrum|890 000 zł|Gdynia, |Śródmieście, ||48 m²|Wtórny||04.10.2022|24.05.2023|morizon-MG306653|964|4||6|||||||||||||||||||||||||||||
Orłowo - nowe, urządzone mieszkanie z ogródkiem|2 090 000 zł|Gdynia, |Orłowo, ||62 m²|Wtórny|2022|19.02.2024|03.04.2024|morizon-EC522235|156|3||2||2|Tak|||||||||||||||||19.02.2024|||||||||
"Klimatyczne mieszkanie blisko morza | duża kuchnia"|669 000 zł|Gdynia, |Redłowo, ||47,32 m²|Wtórny|1970|04.09.2023|11.04.2024|morizon-ON935013|1 293|3|1/3|3|1|1|Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie||||||||||||15.09.2023|||||||||
"4 pokoje | Apartament w Inwestycji Columbus"|1 120 000 zł|Gdynia, |Witomino, ||76,64 m²|Wtórny|2013|31.01.2024|11.04.2024|morizon-ON946793|419|2|4/5|5|1||Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie||||||||||||31.03.2024|||||||||
"Widok na morze | Do wprowadzenia | Centrum Gdyni"|750 000 zł|Gdynia, |Działki Leśne, ||64,06 m²|Wtórny|1970|21.01.2024|11.04.2024|morizon-ON430586|339|2|10/10|10|1||Tak||Na wyłączność|Blok Mieszkalny||Co Własne||||||||||||01.02.2024|||||||||
Apartament z widokiem / komfort i funkcjonalność|865 000 zł|Gdynia, |Obłuże, ||76,80 m²|Wtórny|2008|12.01.2024|11.04.2024|morizon-ON218419|303|2|3/5|5|||Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie||||||||||||12.01.2024|||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|1 519 000 zł|Gdynia, |Grabówek, ||102 m²|Pierwotny|2023|05.04.2024|06.02.2024|morizon-EC387228725|13|2||4|1|4|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|101,83 m²||||||||||||||||||||
"Słoneczny parter | ogród 52m2 | Altoria | Siłownia"|950 000 zł|Gdynia, |Mały Kack, ||74,77 m²|Wtórny|2018|18.01.2024|11.04.2024|morizon-ON820779|326|2||4||2|||Na wyłączność|Apartamentowiec||Co Miejskie||||||||||||01.02.2024|||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|881 000 zł|Gdynia, |Grabówek, ||58 m²|Pierwotny|2023|10.08.2023|13.12.2023|morizon-EC577114880|361|2|2/4|4|1|2|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|892 000 zł|Gdynia, |Grabówek, ||58 m²|Pierwotny|2023|02.07.2023|17.12.2023|morizon-EC705797439|474|2|3/4|4|1|2|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|1 040 000 zł|Gdynia, |Grabówek, ||68 m²|Pierwotny|2023|10.08.2023|13.12.2023|morizon-EC284641993|248|2|2/4|4|1|2|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|1 301 000 zł|Gdynia, |Grabówek, ||90 m²|Pierwotny|2023|30.08.2023|13.12.2023|morizon-EC445174993|297|2|1/4|4|1|4|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|89,66 m²||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|1 541 000 zł|Gdynia, |Grabówek, ||102 m²|Pierwotny|2023|01.09.2023|18.12.2023|morizon-EC671835915|251|2|1/4|4|1|4|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|101,83 m²||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|1 997 000 zł|Gdynia, |Grabówek, ||132 m²|Pierwotny|2023|30.08.2023|12.01.2024|morizon-EC952552209|234|2|2/4|4|1|4|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|131,56 m²||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|611 000 zł|Gdynia, |Grabówek, ||39,18 m²|Wtórny|2023|30.08.2023|12.01.2024|morizon-EC617746446|216|2||4|1|1|||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|1 059 000 zł|Gdynia, |Grabówek, ||68 m²|Pierwotny|2023|24.06.2023|13.12.2023|morizon-EC746304588|315|2||4|1|2|||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
4 POKOJE NA PARTERZE W GDYNI|699 000 zł|Gdynia, |Dąbrowa, ||75,78 m²|Wtórny|1992|10.04.2024|10.04.2024|morizon-PAN903637|23|1||3||3|Tak|Nie|Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|72,70 m²||||||||||||||||||||
APARTAMENT / 2 MIEJSCA W HALI GARAŻOWEJ/ 2 BALKONY|950 000 zł|Gdynia, |Chylonia, ||75,39 m²|Wtórny|2018|08.04.2024|08.04.2024|morizon-PAN479568|19|1|2/2|2|||Tak|Nie||Blok Mieszkalny|Inne|Gazowe|||||||||||||||||||||
"Osiedle \""Millenium\"" | Taras | Natura | Basen"|1 459 000 zł|Gdynia, |Mały Kack, ||98 m²|Wtórny|2000|06.04.2024|10.04.2024|morizon-779371|36|1|2/2|2|1|2||Tak|Na wyłączność|Apartamentowiec|Cegła|Co Własne|||||||||||||||||||||
NIERUCHOMOŚĆ PREMIUM W CENTRUM MIASTA|1 850 000 zł|Gdynia, |Śródmieście, ||77,02 m²|Wtórny|2015|05.04.2024|05.04.2024|morizon-PAN150561|33|1|1/7|7||3|Tak|Tak||Blok Mieszkalny|YTong|Co Miejskie|||||||||||||||||||||
Centrum Gdyni - 3 pokoje - idealnie skomunikowane|629 000 zł|Gdynia, |Działki Leśne, ||52 m²|Wtórny|1970|03.04.2024|09.04.2024|morizon-PAN890773|58|1|2/10|10||2|Tak|Nie||Blok Mieszkalny|Cegła|Co Miejskie|||||||||||||||||||||
Mieszkanie w ścisłym centrum Gdyni|869 000 zł|Gdynia, |Śródmieście, ||53,91 m²|Wtórny|1964|08.04.2024|08.04.2024|morizon-PAN813771|36|1|6/6|6|||Tak|Nie||Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
Piękne 3 pokoje z udogodnieniami blisko lasu|999 000 zł|Gdynia, |Mały Kack, ||60,04 m²|Wtórny|2022|01.04.2024|02.04.2024|morizon-PAN648574|68|1|1/3|3|1||Tak|Nie||Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|||||||||||||||||||||
Studio z widokiem na morze|1 199 000 zł|Gdynia, |Śródmieście, ||32 m²|Wtórny|2009|25.03.2024|10.04.2024|morizon-507946|182|1|15/29|29|1|1|||Na wyłączność|Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie||||||||||||18.03.2024|||||||||
4 pokoje, idealna lokalizacja, nowe budownictwo|1 850 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||103,41 m²|Wtórny|2008|02.04.2024|05.04.2024|morizon-PAN933105|62|1|1/2|2||3|Tak|Nie||Willa|Konstrukcja mieszana|Co Własne|||||||||||||||||||||
5 km od Centrum ,dwa pokoje, idealne pierwsze M|435 000 zł|Gdynia, |Chylonia, ||42,56 m²|Wtórny|1989|21.03.2024|07.04.2024|morizon-NN505809|212|1|3/4|4||1|||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|42,46 m²||||||||||||||||||||
3 pokoje w dużym metrażu - Gdynia Wielki Kack|800 000 zł|Gdynia, |Wielki Kack, ||82,09 m²|Wtórny|1995|26.03.2024|10.04.2024|morizon-PAN174007|55|1|4/5|5|||Tak|Nie||Blok Mieszkalny|YTong|Co Miejskie|||||||||||||||||||||
Świeżo wykończone mieszkanie blisko morza|999 000 zł|Gdynia, |Orłowo, ||38,50 m²|Wtórny|2023|22.03.2024|09.04.2024|morizon-418210|69|1|2/4|4|1|||||Apartamentowiec||Co Miejskie|||||||||||||||||||||
"2 POKOJE | PARTER | OGRÓDEK | FIKAKOWO"|515 000 zł|Gdynia, |Wielki Kack, ||51,82 m²|Wtórny|2000|12.03.2024|03.04.2024|morizon-PAN569830|198|1||2|||Nie|Nie|Na wyłączność|Blok Mieszkalny|YTong|Co Miejskie|||||||||||||||||||||
PRZESTRONNE, CIEPŁE, 3-POKOJOWE MIESZKANIE|529 000 zł|Gdynia, |Cisowa, ||55,19 m²|Wtórny|1980|27.03.2024|27.03.2024|morizon-PAN522203|86|1|7/10|10|||Tak|Nie|Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
"STYLOWE 2 POKOJE W KAMIENICY | WYSOKIE SUFITY"|895 000 zł|Gdynia, |Oksywie||71,80 m²|Wtórny|1936|04.03.2024|03.04.2024|morizon-PAN674800|121|1|1/3|3|||Tak|Nie||Kamienica|Cegła|Gazowe|||||||||||||||||||||
3 pokoje, blisko centrum - w otoczeniu zieleni|615 000 zł|Gdynia, |Pustki Cisowskie, ||60,01 m²|Wtórny|1980|28.03.2024|28.03.2024|morizon-NN158524|89|1|3/3|3||2|Tak||Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|||||||||||||||||||||
Idealne mieszkanie pod wynajem Gdynia blisko plaży|655 000 zł|Gdynia, |Działki Leśne, ||59,64 m²|Wtórny|1950|22.02.2024|08.04.2024|morizon-PAN863039|186|1|4/4|4||1|Nie|Nie|Na wyłączność|Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
Mieszkanie w modernistycznej kamienicy|439 000 zł|Gdynia, |Grabówek, ||50 m²|Wtórny|1936|04.04.2024|12.04.2024|morizon-WIL225819|87|1|3/4|4||1|||Na wyłączność|Kamienica|Cegła|Elektryczne||||||||||||05.04.2024|||||||||
Opis nieruchomości|531 976 zł|Gdynia, |Cisowa, |ZBOŻOWA|45,86 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.71|492|31|||||||||||||||||||||||||||||||
